store_id,store_name,country,cohort_month,first_order_date,activity_week,orders_count,week_number
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-01-01,4,0
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-01-08,3,1
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-01-15,3,2
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-01-22,5,3
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-01-29,1,4
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-02-05,9,5
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-02-12,2,6
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-02-19,8,7
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-03-04,9,9
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-03-11,6,10
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-03-18,9,11
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-03-25,1,12
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-04-01,7,13
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-04-08,8,14
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-04-15,4,15
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-04-22,4,16
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-04-29,12,17
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-05-06,4,18
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-05-13,8,19
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-05-20,4,20
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-05-27,2,21
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-06-03,7,22
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-06-10,4,23
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-06-17,9,24
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-06-24,7,25
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-07-01,4,26
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-07-08,8,27
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-07-15,10,28
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-07-22,3,29
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-07-29,6,30
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-08-05,9,31
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-08-12,10,32
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-08-19,5,33
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-08-26,8,34
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-09-02,6,35
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-09-09,7,36
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-09-16,3,37
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-09-23,7,38
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-09-30,7,39
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-10-07,6,40
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-10-14,5,41
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-10-21,8,42
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-10-28,4,43
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-11-04,15,44
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-11-11,4,45
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-11-18,18,46
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-11-25,8,47
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-12-02,7,48
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-12-09,15,49
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-12-16,8,50
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-12-23,5,51
130,store-morocco-5,Morocco,2024-06-01,2024-01-01,2024-12-30,1,52
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-01-01,5,0
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-01-08,2,1
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-01-15,6,2
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-01-22,5,3
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-01-29,5,4
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-02-05,6,5
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-02-12,7,6
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-02-19,7,7
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-02-26,1,8
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-03-04,7,9
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-03-11,8,10
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-03-18,1,11
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-03-25,5,12
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-04-01,5,13
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-04-08,6,14
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-04-15,6,15
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-04-22,4,16
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-04-29,8,17
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-05-06,3,18
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-05-13,3,19
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-05-20,9,20
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-05-27,6,21
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-06-03,8,22
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-06-10,5,23
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-06-17,12,24
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-06-24,12,25
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-07-01,7,26
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-07-08,8,27
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-07-15,5,28
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-07-22,2,29
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-07-29,6,30
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-08-05,8,31
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-08-12,4,32
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-08-19,11,33
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-08-26,12,34
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-09-02,7,35
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-09-09,6,36
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-09-16,5,37
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-09-23,8,38
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-09-30,6,39
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-10-07,5,40
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-10-14,3,41
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-10-21,10,42
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-10-28,3,43
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-11-04,12,44
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-11-11,15,45
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-11-18,16,46
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-11-25,8,47
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-12-02,8,48
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-12-09,8,49
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-12-16,10,50
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-12-23,13,51
132,store-spain-2,Spain,2024-06-01,2024-01-01,2024-12-30,3,52
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-01-01,6,0
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-01-08,5,1
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-01-15,4,2
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-01-22,8,3
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-01-29,5,4
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-02-05,2,5
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-02-12,2,6
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-02-19,8,7
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-02-26,7,8
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-03-04,7,9
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-03-11,7,10
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-03-18,7,11
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-03-25,9,12
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-04-01,12,13
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-04-08,7,14
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-04-15,6,15
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-04-22,6,16
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-04-29,13,17
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-05-06,6,18
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-05-13,4,19
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-05-20,4,20
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-05-27,6,21
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-06-03,7,22
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-06-10,6,23
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-06-17,4,24
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-06-24,8,25
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-07-01,3,26
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-07-08,8,27
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-07-15,5,28
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-07-22,8,29
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-07-29,7,30
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-08-05,8,31
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-08-12,13,32
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-08-19,12,33
133,store-spain-3,Spain,2024-06-01,2024-01-03,2024-08-26,5,34
