user_id,search_frequency,avg_session_duration,search_query_complexity,click_through_rate,conversion_rate,brand_loyalty_score,num_preferred_categories,num_peak_hours,prefers_electronics,prefers_clothing,prefers_home,prefers_sports,prefers_books,price_sensitivity_high,price_sensitivity_medium,price_sensitivity_low,engagement_score,activity_intensity,search_frequency_normalized,avg_session_duration_normalized,search_query_complexity_normalized,click_through_rate_normalized,conversion_rate_normalized,brand_loyalty_score_normalized,engagement_score_normalized,activity_intensity_normalized
user_0001,0.22,212.9,1.45,0.455,0.091,0.545,3,3,0,0,1,0,0,0,0,1,0.23660000000000003,0.46838,0.3953488372093023,0.5962580009847367,0.3888888888888888,0.40953412784398696,0.136431784107946,0.68125,0.24181937172774878,0.3641911141911143
user_0002,0.24,246.4,1.83,0.5,0.083,0.583,3,3,0,1,0,0,0,0,0,1,0.24980000000000002,0.59136,0.4418604651162791,0.7612013786312164,0.8111111111111111,0.45828819068255683,0.12443778110944528,0.7287499999999999,0.2634162303664922,0.48255948255948267
user_0003,0.3,191.7,1.4,0.867,0.0,0.667,3,3,0,0,1,0,0,0,0,1,0.3468,0.5751,0.5813953488372093,0.49187592319054657,0.33333333333333315,0.8559046587215601,0.0,0.83375,0.4221204188481676,0.46690921690921694
user_0004,0.25,234.2,1.75,0.667,0.25,0.583,3,3,0,1,0,0,0,0,0,1,0.41680000000000006,0.5855,0.4651162790697675,0.7011324470704087,0.7222222222222222,0.639219934994583,0.3748125937031484,0.7287499999999999,0.536649214659686,0.476919226919227
user_0005,0.21,234.2,1.73,0.727,0.182,0.636,3,3,0,1,0,0,0,0,0,1,0.4,0.4918199999999999,0.3720930232558139,0.7011324470704087,0.7,0.704225352112676,0.272863568215892,0.7949999999999999,0.5091623036649215,0.38675213675213677
user_0006,0.2,211.4,1.55,0.636,0.0,0.545,3,3,0,0,1,0,0,0,0,1,0.2544,0.4228,0.34883720930232565,0.5888724766125063,0.5,0.6056338028169015,0.0,0.68125,0.27094240837696343,0.3203203203203203
user_0007,0.21,181.6,1.44,0.667,0.222,0.556,3,3,1,0,0,0,0,0,0,1,0.4,0.38136,0.3720930232558139,0.4421467257508617,0.37777777777777766,0.639219934994583,0.3328335832083958,0.6950000000000001,0.5091623036649215,0.2804342804342804
user_0008,0.24,157.4,2.0,0.571,0.286,0.714,3,3,0,0,0,1,0,0,0,1,0.39999999999999997,0.37776000000000004,0.4418604651162791,0.3229935992122108,1.0,0.5352112676056338,0.42878560719640174,0.8925,0.5091623036649214,0.27696927696927703
user_0009,0.16,202.9,1.62,0.625,0.125,0.375,3,3,0,0,1,0,0,0,0,1,0.325,0.32464,0.2558139534883721,0.5470211718365339,0.5777777777777778,0.5937161430119177,0.1874062968515742,0.46875,0.3864528795811519,0.22584122584122585
user_0010,0.32,120.5,2.0,0.636,0.0,0.636,3,3,0,0,0,1,0,0,0,1,0.2544,0.3856,0.627906976744186,0.14130969965534224,1.0,0.6056338028169015,0.0,0.7949999999999999,0.27094240837696343,0.2845152845152845
user_0011,0.19,132.0,1.67,0.333,0.222,0.556,3,3,1,1,1,0,0,1,0,0,0.26639999999999997,0.2508,0.32558139534883723,0.19793205317577553,0.6333333333333332,0.27735644637053086,0.3328335832083958,0.6950000000000001,0.2905759162303665,0.15477015477015482
user_0012,0.21,244.4,1.8,0.7,0.0,0.5,3,3,0,1,0,0,0,0,0,1,0.27999999999999997,0.51324,0.3720930232558139,0.7513540128015758,0.7777777777777778,0.6749729144095341,0.0,0.625,0.31282722513089006,0.40736890736890746
user_0013,0.37,267.5,1.71,0.619,0.095,0.762,3,3,0,1,0,0,0,0,0,1,0.3046,0.9897499999999999,0.7441860465116279,0.8650910881339242,0.6777777777777777,0.5872156013001083,0.1424287856071964,0.9525,0.3530759162303665,0.866010241010241
user_0014,0.26,205.0,1.47,0.467,0.067,0.667,3,3,0,0,1,0,0,0,0,1,0.22700000000000004,0.533,0.48837209302325585,0.5573609059576564,0.41111111111111104,0.4225352112676056,0.10044977511244378,0.83375,0.22611256544502625,0.4263879263879265
