user_id,segment_id,segment_name
user_0001,0,Tech Browsers
user_0002,0,Tech Browsers
user_0003,4,Active Lifestyle
user_0004,0,Tech Browsers
user_0005,0,Tech Browsers
user_0006,1,Home Improvers
user_0007,2,Tech Browsers
user_0008,3,Fashion Explorers
user_0009,3,Fashion Explorers
user_0010,3,Fashion Explorers
user_0011,2,Tech Browsers
user_0012,3,Fashion Explorers
user_0013,2,Tech Browsers
user_0014,1,Home Improvers
user_0015,4,Active Lifestyle
user_0016,2,Tech Browsers
user_0017,2,Tech Browsers
user_0018,3,Fashion Explorers
user_0019,3,Fashion Explorers
user_0020,3,Fashion Explorers
user_0021,4,Active Lifestyle
user_0022,3,Fashion Explorers
user_0023,0,Tech Browsers
user_0024,1,Home Improvers
user_0025,4,Active Lifestyle
user_0026,2,Tech Browsers
user_0027,2,Tech Browsers
user_0028,4,Active Lifestyle
user_0029,3,Fashion Explorers
user_0030,4,Active Lifestyle
user_0031,0,Tech Browsers
user_0032,1,Home Improvers
user_0033,4,Active Lifestyle
user_0034,4,Active Lifestyle
user_0035,4,Active Lifestyle
user_0036,0,Tech Browsers
user_0037,3,Fashion Explorers
user_0038,1,Home Improvers
user_0039,1,Home Improvers
user_0040,2,Tech Browsers
user_0041,4,Active Lifestyle
user_0042,0,Tech Browsers
user_0043,3,Fashion Explorers
user_0044,3,Fashion Explorers
user_0045,0,Tech Browsers
user_0046,4,Active Lifestyle
user_0047,3,Fashion Explorers
user_0048,0,Tech Browsers
user_0049,1,Home Improvers
user_0050,3,Fashion Explorers
user_0051,4,Active Lifestyle
user_0052,1,Home Improvers
user_0053,0,Tech Browsers
user_0054,4,Active Lifestyle
user_0055,4,Active Lifestyle
user_0056,2,Tech Browsers
user_0057,0,Tech Browsers
user_0058,4,Active Lifestyle
user_0059,3,Fashion Explorers
user_0060,4,Active Lifestyle
user_0061,3,Fashion Explorers
user_0062,2,Tech Browsers
user_0063,0,Tech Browsers
user_0064,0,Tech Browsers
user_0065,4,Active Lifestyle
user_0066,3,Fashion Explorers
user_0067,4,Active Lifestyle
user_0068,2,Tech Browsers
user_0069,1,Home Improvers
user_0070,1,Home Improvers
user_0071,3,Fashion Explorers
user_0072,3,Fashion Explorers
user_0073,2,Tech Browsers
user_0074,2,Tech Browsers
user_0075,2,Tech Browsers
user_0076,1,Home Improvers
user_0077,1,Home Improvers
user_0078,3,Fashion Explorers
user_0079,3,Fashion Explorers
user_0080,3,Fashion Explorers
user_0081,3,Fashion Explorers
user_0082,4,Active Lifestyle
user_0083,0,Tech Browsers
user_0084,3,Fashion Explorers
user_0085,4,Active Lifestyle
user_0086,1,Home Improvers
user_0087,0,Tech Browsers
user_0088,3,Fashion Explorers
user_0089,0,Tech Browsers
user_0090,4,Active Lifestyle
user_0091,2,Tech Browsers
user_0092,0,Tech Browsers
user_0093,2,Tech Browsers
user_0094,4,Active Lifestyle
user_0095,2,Tech Browsers
user_0096,1,Home Improvers
user_0097,1,Home Improvers
user_0098,2,Tech Browsers
user_0099,2,Tech Browsers
user_0100,0,Tech Browsers
user_0101,3,Fashion Explorers
user_0102,2,Tech Browsers
user_0103,4,Active Lifestyle
user_0104,2,Tech Browsers
user_0105,2,Tech Browsers
user_0106,4,Active Lifestyle
user_0107,3,Fashion Explorers
user_0108,2,Tech Browsers
user_0109,0,Tech Browsers
user_0110,4,Active Lifestyle
user_0111,4,Active Lifestyle
user_0112,1,Home Improvers
user_0113,3,Fashion Explorers
user_0114,1,Home Improvers
user_0115,3,Fashion Explorers
user_0116,3,Fashion Explorers
user_0117,4,Active Lifestyle
user_0118,2,Tech Browsers
user_0119,1,Home Improvers
user_0120,2,Tech Browsers
user_0121,1,Home Improvers
user_0122,4,Active Lifestyle
user_0123,3,Fashion Explorers
user_0124,1,Home Improvers
user_0125,2,Tech Browsers
user_0126,0,Tech Browsers
user_0127,3,Fashion Explorers
user_0128,4,Active Lifestyle
user_0129,3,Fashion Explorers
user_0130,1,Home Improvers
user_0131,1,Home Improvers
user_0132,2,Tech Browsers
user_0133,1,Home Improvers
user_0134,2,Tech Browsers
user_0135,2,Tech Browsers
user_0136,4,Active Lifestyle
user_0137,1,Home Improvers
user_0138,1,Home Improvers
user_0139,4,Active Lifestyle
user_0140,4,Active Lifestyle
user_0141,0,Tech Browsers
user_0142,2,Tech Browsers
user_0143,1,Home Improvers
user_0144,2,Tech Browsers
user_0145,4,Active Lifestyle
user_0146,4,Active Lifestyle
user_0147,3,Fashion Explorers
user_0148,3,Fashion Explorers
user_0149,0,Tech Browsers
user_0150,4,Active Lifestyle
user_0151,2,Tech Browsers
user_0152,0,Tech Browsers
user_0153,1,Home Improvers
user_0154,3,Fashion Explorers
user_0155,3,Fashion Explorers
user_0156,4,Active Lifestyle
user_0157,2,Tech Browsers
user_0158,0,Tech Browsers
user_0159,1,Home Improvers
user_0160,4,Active Lifestyle
user_0161,1,Home Improvers
user_0162,1,Home Improvers
user_0163,2,Tech Browsers
user_0164,3,Fashion Explorers
user_0165,1,Home Improvers
user_0166,3,Fashion Explorers
user_0167,2,Tech Browsers
user_0168,2,Tech Browsers
user_0169,0,Tech Browsers
user_0170,3,Fashion Explorers
user_0171,0,Tech Browsers
user_0172,1,Home Improvers
user_0173,1,Home Improvers
user_0174,4,Active Lifestyle
user_0175,1,Home Improvers
user_0176,4,Active Lifestyle
user_0177,3,Fashion Explorers
user_0178,1,Home Improvers
user_0179,3,Fashion Explorers
user_0180,0,Tech Browsers
user_0181,4,Active Lifestyle
user_0182,1,Home Improvers
user_0183,1,Home Improvers
user_0184,2,Tech Browsers
user_0185,3,Fashion Explorers
user_0186,2,Tech Browsers
user_0187,1,Home Improvers
user_0188,0,Tech Browsers
user_0189,4,Active Lifestyle
user_0190,1,Home Improvers
user_0191,3,Fashion Explorers
user_0192,0,Tech Browsers
user_0193,3,Fashion Explorers
user_0194,4,Active Lifestyle
user_0195,1,Home Improvers
user_0196,1,Home Improvers
user_0197,0,Tech Browsers
